date,Day Type,Holiday,Moon Calendar,School Events,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Season,total_passengers,total_adults,total_children,total_fare,no_of_full_fare_tickets,total_C/P_tickets,total_buses,no_of_trips_offline,no_of_MHL_passengers,no_of_city_ordinary_bus,no_of_metro_express_bus,no_of_pallevelug_bus,no_of_other_bus,no_of_metro_delux_bus,no_of_express_bus
2022-04-01,4,0,0,0,0.0267456139761533,36.82211674962196,23.941575410862868,1.0,5354,5289,65,80705,4132,1222,18,81,0,13,5,0,0,0,0
2022-04-02,5,2,1,2,0.0243031375937401,36.34611075371498,23.785845657548407,1.0,4051,3992,59,67375,3196,855,15,60,0,10,5,0,0,0,0
2022-04-03,6,0,2,2,0.022252491872801,36.41790817080283,23.501093752984104,1.0,4090,4011,79,70395,3326,764,18,71,0,11,7,0,0,0,0
2022-04-04,0,0,3,0,0.1061927206756408,36.00742572717468,24.11072115553634,1.0,5954,5871,83,98390,4924,1030,20,85,0,14,6,0,0,0,0
2022-04-05,1,2,4,2,0.0304662234306094,35.53586602284287,23.64772124133532,1.0,6068,6006,62,95535,4913,1155,22,92,0,15,7,0,0,0,0
2022-04-06,2,0,5,1,0.7607131361356342,35.93633278224047,23.23276027088889,1.0,4668,4621,47,78055,3903,765,18,77,0,11,7,0,0,0,0
2022-04-07,3,0,6,1,0.1830379023809251,36.19718993962477,23.94147344260904,1.0,4792,4752,40,80055,4137,655,19,81,0,12,7,0,0,0,0
2022-04-08,4,0,7,1,0.0147019914493224,36.24068905123198,23.442623589305697,1.0,4994,4956,38,75730,3815,1179,18,78,0,11,7,0,0,0,0
2022-04-09,5,0,8,2,0.0384760381040104,35.858542819640206,23.371671063055032,1.0,5636,5545,91,92810,4083,1553,19,81,0,12,7,0,0,0,0
2022-04-10,6,2,9,1,0.0058773192342823,35.84292029987347,24.05191584565887,1.0,3661,3593,68,70180,2792,869,15,68,0,10,5,0,0,0,0
2022-04-11,0,0,10,1,0.0161117213490622,36.03228242051625,23.82232585616174,1.0,6114,6028,86,115120,4701,1413,21,90,0,14,7,0,0,0,0
2022-04-12,1,0,11,1,0.0358484734711748,36.35711837606618,23.792052832804814,1.0,4562,4514,48,101900,3812,750,19,78,0,11,8,0,0,0,0
2022-04-13,2,0,12,1,0.0143871112207084,36.40798241960965,23.512140286154025,1.0,4192,4139,53,89510,3606,586,16,72,0,9,7,0,0,0,0
2022-04-14,3,3,13,1,0.0005162943767319,36.40537878468831,23.99853234470271,1.0,4728,4673,55,92835,3697,1031,17,73,0,12,5,0,0,0,0
2022-04-15,4,3,14,1,11.513248243882094,37.26344931649345,25.66515849663369,1.0,4919,4661,258,92864,3699,1218,15,70,0,10,5,0,0,0,0
2022-04-16,5,3,15,1,11.77588632839666,37.092292767888864,26.432668617484524,1.0,5263,5195,68,106020,4220,1043,20,92,0,13,7,0,0,0,0
2022-04-17,6,3,16,1,15.562922145520702,36.99298531065614,25.70665375906418,1.0,3925,3838,87,81840,3195,730,15,68,0,11,4,0,0,0,0
2022-04-18,0,0,17,1,1.3337224732335675,37.389055777448505,25.09359784263313,1.0,6590,6467,123,120925,4862,1728,20,93,0,13,7,0,0,0,0
2022-04-19,1,0,18,2,0.0609800266840975,38.06065282837272,25.32211814831294,1.0,5306,5247,59,104930,4281,1025,19,92,0,12,7,0,0,0,0
2022-04-20,2,0,19,2,0.0099551131154908,39.0320956385097,26.04960408258654,1.0,4791,4733,58,90515,3699,1092,14,68,0,9,5,0,0,0,0
2022-04-21,3,0,20,2,1.1305327552057185,37.84400671674638,25.601095204541423,1.0,5563,5380,183,102655,4196,1367,16,81,0,11,5,0,0,0,0
2022-04-22,4,3,21,2,9.866715400831865,35.929180272543306,25.313213227157974,1.0,6111,6033,78,108165,4430,1681,17,85,0,10,7,0,0,0,0
2022-04-23,5,3,22,2,12.7364324563473,36.23473955772471,25.34431856603448,1.0,7203,6914,289,118115,4752,2451,17,91,0,11,6,0,0,0,0
2022-04-24,6,3,23,2,3.778400649222817,36.99264550787393,25.62527255811028,1.0,4911,4798,113,101105,3941,970,15,77,0,10,5,0,0,0,0
2022-04-25,0,0,24,2,0.4972041633080217,38.2576995123066,25.904897665568,1.0,6717,6602,115,122210,4887,1830,19,95,0,12,7,0,0,0,0
2022-04-26,1,0,25,2,1.7006335805873616,38.191543783386464,26.057760797092385,1.0,4243,4182,61,87519,3436,805,15,73,0,9,6,0,0,0,0
2022-04-27,2,0,26,2,0.5888556316992538,38.51449244648143,26.522476110807588,1.0,3948,3870,78,80355,3186,762,16,69,0,9,7,0,0,0,0
2022-04-28,3,0,27,2,2.0524702417927885,38.76518104489901,26.75102045186969,1.0,4771,4674,97,92920,3726,1045,17,82,0,11,6,0,0,0,0
2022-04-29,4,3,28,2,0.2729963735114178,40.16417536273275,26.49029908360319,1.0,5386,5337,49,103050,4013,1373,20,92,0,13,7,0,0,0,0
2022-04-30,5,3,29,2,0.0314586209042549,39.952867780903205,26.53372821405526,1.0,4995,4888,107,90760,3614,1381,17,82,0,11,6,0,0,0,0
2022-05-01,6,3,0,2,0.0178370304024053,39.90417523472468,26.57200541015169,1.0,3293,3214,79,74460,2847,446,11,58,0,8,3,0,0,0,0
2022-05-02,0,0,1,2,0.1705036885386481,38.92600434084437,27.00650680648772,1.0,5633,5524,109,101865,3939,1694,17,81,0,10,7,0,0,0,0
2022-05-03,1,2,2,2,9.458932425354112,38.74261851081542,26.85540653345936,1.0,4999,4816,183,101500,3861,1138,19,95,0,12,7,0,0,0,0
2022-05-04,2,2,3,2,4.343759937224287,36.84719034605212,26.928350667147072,1.0,4367,4266,101,104900,4037,330,18,82,0,11,7,0,0,0,0
2022-05-05,3,0,4,2,1.5184056613263823,38.16442845422489,27.27427469013918,1.0,5311,5097,214,99090,3948,1363,17,85,0,10,8,0,0,0,0
2022-05-06,4,0,5,2,0.1273445427049867,39.39391050647964,26.81200899847716,1.0,5507,5400,107,108550,4333,1174,18,83,0,12,6,0,0,0,0
2022-05-07,5,0,6,2,0.0179750903620954,38.89135747123669,26.58419114291604,1.0,4902,4782,120,89330,3502,1400,15,73,0,10,5,0,0,0,0
2022-05-08,6,0,7,2,2.3335591249105767,37.56475549921339,27.44997631163096,1.0,5511,5344,167,109945,4250,1261,17,86,0,12,5,0,0,0,0
