Actual Value,Predicted Value,Row
3661,6686.965870634922,9
4562,5437.242308730164,11
6111,5734.600059523812,21
4995,5539.215051803752,29
4572,6708.279500793658,40
5024,5398.121671428577,51
4806,5485.108897619045,60
4886,6562.75056666667,65
6124,6031.931502380953,67
6687,5887.758274603174,72
5428,5989.930447619048,78
5592,6328.326782539682,83
4875,5733.50953333333,89
935,6395.521971428572,93
6156,6215.436376190476,94
5017,5057.031640476192,99
5615,5196.385026190473,104
6906,6003.273381746035,108
6760,5544.285533910536,109
4478,5591.477753968258,112
5615,5345.32475634921,118
5800,5689.8172936508045,122
3078,5546.718327777784,124
4262,5567.4105555555625,125
5158,4994.664057936513,128
6372,7439.85449040404,137
5420,7632.338621428579,141
6621,7503.784262698411,143
7139,7009.575453968255,146
6865,7369.32188492064,148
6518,7513.050655555552,155
7053,7426.768935714296,156
7523,6751.423347619042,159
7094,6848.499008730155,160
7227,7149.309165873019,166
7739,7497.417017460325,175
5046,7152.934728354977,188
6991,7462.971822222221,192
9448,11176.666157142849,199
7762,10187.66343174604,202
8420,11177.5683984127,205
10868,10912.516562698396,206
12173,18676.986011111097,214
19675,19074.601100000018,219
19539,16682.265617460314,226
17061,17131.9568984127,227
12690,18220.090367460336,230
21502,19404.848991269846,234
16509,19077.011409523784,241
20396,20019.437475396822,245
21850,20242.40671666666,248
23779,23334.845351587275,266
21075,25806.861218253976,267
27354,21567.163011111123,270
18645,22085.35917460317,271
32331,30507.248496825454,281
30401,29108.544621428628,285
23981,25680.60647142864,288
22192,26540.322969191933,301
25078,23850.066136507907,310
21492,23009.083073809525,320
18510,24751.49228095239,322
21685,24258.42089975579,324
25685,24681.30103015875,330
23815,23859.606052136765,339
21942,21637.4679095238,341
26923,23962.982639682534,344
23493,24584.021507142872,347
25720,21914.649950793664,348
24579,22808.574272222224,352
21425,20719.807766666647,359
25285,23667.76125064934,361
23328,21702.45432301585,369
22188,20289.393233333318,373
27750,20863.20476666667,375
28122,21096.883217460312,378
24277,20202.980496825407,386
27269,22939.449058730155,389
20580,22556.2632206349,393
23949,21463.14239126987,395
25123,21279.159196825407,397
20285,22382.026048412707,403
23353,23068.63243095236,406
21348,24141.41128333335,410
22523,21408.84629523812,416
18792,21898.436800000014,421
21729,22522.76074047619,441
26265,22265.49791428571,444
23735,22409.0347246032,445
22521,21774.87913571425,446
31696,21806.43271031748,453
19948,20856.713466666657,463
18708,22246.186254761928,466
20922,21769.74123809525,467
17471,20936.14926854258,470
19266,18392.77529047618,479
17922,20448.881638095245,488
17800,20546.248612049065,491
19949,19992.621561111107,492
15133,20504.98925238096,496
18428,19437.64602539683,498
18858,17835.513044444448,500
19641,17424.11523203462,511
16560,17381.0960095238,512
19570,20897.35730317461,516
16303,17720.648724603183,522
20444,17725.723211904762,523
18448,17508.537861904755,525
11774,16419.1887952381,533
11687,16746.233471428575,538
16636,15772.428879004328,539
17322,21431.74248888889,552
23083,23650.698038095223,556
23125,23608.08975079365,567
14648,18904.23747222221,571
22463,19616.230866666672,576
22655,20906.984844444454,582
13057,20116.31033333334,586
22545,18388.002670634905,587
22710,18520.652446031727,588
17415,20020.386584199117,590
21752,20681.49960634921,598
21931,19060.887430952367,599
22416,19159.42100396827,603
11753,20438.501843650796,605
18920,18435.890233333343,607
20824,22549.869305555563,612
17604,22179.302114285692,622
31641,20592.29277027419,624
28185,26735.09005620492,630
27502,25729.466023015884,636
30477,26414.323001587338,637
26202,27105.740043650818,644
31849,31818.188942857185,648
26459,25646.17672222225,651
30607,27740.874652380935,660
25075,29198.190976190468,662
22983,31684.943981746026,666
32906,31222.67323412704,670
39439,29134.223991269828,675
37068,30598.731283333287,678
24466,33270.7719690477,679
31757,30385.690919841298,681
9078,21450.791203174613,690
29037,27450.015358730194,701
29155,27908.97801031747,703
28885,29014.02582063491,709
32749,29040.42571111111,714
32573,29937.25568015868,716
33386,31807.619928571417,718
31612,31911.887699999992,725
27355,31418.50751666666,736
35126,32150.692671428544,756
35376,31236.239417460292,759
29230,31709.69271825398,764
35914,32891.20151984129,766
32641,34183.62474206352,768
37464,34717.58102424242,775
35633,35198.15262352094,776
37727,36160.921265079356,785
34031,35433.29774761908,790
38067,39645.37708888888,792
36697,34864.43651984128,797
38099,37195.72055079365,799
35870,35557.16581767679,808
43314,38093.6492968254,820
46518,38235.98709105336,826
32584,34186.249400793655,837
40879,33794.878623809556,851
35327,37364.99969603176,857
36737,35071.551912409814,866
33455,38889.857480158746,871
39958,37436.01918225107,872
44246,34797.692973015895,874
45631,41775.013482539696,876
37458,39970.013124242374,879
40485,34300.58187142855,888
38901,36939.96530317459,890
32481,29768.171560317445,893
40339,39781.48259567098,900
47180,40957.09944444443,904
37326,42690.440538888906,910
46198,39947.05721746033,932
38628,38753.54879444444,936
36450,35378.32994920635,943
49387,40025.802061111106,946
42677,41588.63845634918,948
46179,41709.97537142851,959
41253,37508.35128412698,971
38181,39830.30212777784,972
42471,37179.533484126994,973
45675,37663.49388030302,974
44719,38333.33626111111,978
33658,36789.945407936524,985
19819,36367.60030238098,986
29837,31038.315311111077,988
22668,31439.092605555532,989
38770,34830.85771190474,993
36928,38363.77147142857,996
27716,30868.68556984133,1001
20972,31100.73017936505,1003
