Actual Value,Predicted Value,Row
6717.0,8432.024265873024,9
7309.0,8060.050119047621,11
7521.0,8335.913242063481,21
8022.0,7816.9151912698335,27
6991.0,8119.2526730158625,29
7083.0,8158.72243015873,39
7914.0,7782.5330214285705,40
9062.0,8149.604584920634,51
8417.0,8064.345503968264,60
7789.0,8619.951469047608,67
9244.0,8192.346586507936,72
7993.0,8768.459330158723,78
7342.0,8126.9920198412665,89
10051.0,7962.774345238096,93
9880.0,8650.249578571425,94
12312.0,10405.495930158744,99
7911.0,9853.623715079382,104
11978.0,9475.967918253964,108
8854.0,9272.446969841272,112
8358.0,8766.534557142859,118
9379.0,8948.061201587296,122
8522.0,8646.81003095238,124
8678.0,8436.217099999985,125
8127.0,8053.328306349206,128
8182.0,7172.507713492071,137
9206.0,8017.139327777777,141
8977.0,8932.959079365084,143
8873.0,7914.952096825405,146
9935.0,8418.2030079365,148
9707.0,8933.927242857135,155
8516.0,8811.633763492058,156
9169.0,8566.619004761902,159
8607.0,8253.496661904755,160
8324.0,8152.045801587295,166
10656.0,9094.490212698413,175
9795.0,9732.062590476191,188
9579.0,8571.803857936507,192
9825.0,7976.588707142861,199
8763.0,8291.31690476191,202
9317.0,8998.714450793655,205
9560.0,9346.571938095245,206
10949.0,10116.583017460322,207
11067.0,10095.77356666667,214
9212.0,9888.985350793657,219
10183.0,9507.047497619056,227
9716.0,9682.519575396826,230
9444.0,9783.520988888891,234
8875.0,9906.484905555555,241
9632.0,10336.583165079375,245
10435.0,11134.12559047622,248
10063.0,10240.45828492064,262
11272.0,10883.312156349202,266
11048.0,10989.007590476187,267
10065.0,10936.758685714285,270
10882.0,11242.825279365083,271
13628.0,13399.959773015878,281
13432.0,12960.912884920623,288
13558.0,13098.765338095227,290
11928.0,12742.179299206347,301
12375.0,12907.033180158736,310
8812.0,11407.067630158743,315
11283.0,11643.240335714287,319
13250.0,12637.773642063503,320
11955.0,10982.43433412699,322
11202.0,10483.323624603168,339
10523.0,11323.405693650788,344
10806.0,11698.52443015872,347
13094.0,12195.637452380937,348
11931.0,12306.450934126973,352
13641.0,13128.620791269857,356
13966.0,12715.94701031747,357
13564.0,12963.140994444422,359
14982.0,13414.999163492077,366
11263.0,13470.33927936507,373
14167.0,13702.016529365075,376
16198.0,14375.299965512228,386
14776.0,14542.33874603176,387
15369.0,14421.680180158735,395
16506.0,14343.14166666665,397
14021.0,14800.370545238065,398
5752.0,12893.259341269824,403
13471.0,12921.844634126974,405
13708.0,12296.7126015873,413
11004.0,12862.819361904765,414
13507.0,12827.111445238099,419
12805.0,12610.835496825399,420
12556.0,12337.254534920645,421
11359.0,11465.63786031746,437
10768.0,11687.527158730161,438
8444.0,11339.84122539681,444
12497.0,13512.883508730147,445
10383.0,11468.228036507953,446
9375.0,11584.521257142866,449
12118.0,11663.999705555572,456
12347.0,11512.992188888888,461
14913.0,13053.636625396817,466
11900.0,12693.502992857144,467
10218.0,12614.877673015868,470
16116.0,12900.54185634921,479
12403.0,13199.354680158729,483
12066.0,12875.839120634928,484
13926.0,14089.73055238096,485
12149.0,12516.376498412692,491
13930.0,12259.654249206347,492
12613.0,13380.079349206359,495
14663.0,12946.306811904775,501
12678.0,13614.729423809511,515
12324.0,11948.850779365079,519
11943.0,12544.18509523809,523
12379.0,12437.07997063492,525
14845.0,12122.787219841266,532
12593.0,12005.412108730141,533
12589.0,12103.276075396825,538
12121.0,11948.380458730151,539
10190.0,12064.787195238097,544
12695.0,12752.842488095244,555
18759.0,12294.56228095237,571
14780.0,10738.09023412699,576
19362.0,17519.367229365067,585
15358.0,16197.145295238091,586
15266.0,16033.012661904762,589
12705.0,15856.32188968256,607
11018.0,16451.656480952402,613
15771.0,13793.94026111112,614
16176.0,14971.619111111106,624
19259.0,16599.455557142865,627
15446.0,15904.915783333332,629
15399.0,15827.290370634917,631
15544.0,15958.52710952381,632
17205.0,15866.505397619047,635
20197.0,16291.667453174601,639
17010.0,16756.475462698414,648
12057.0,16627.123646825406,650
11176.0,16917.808835714288,651
13622.0,18228.35164920639,653
17733.0,18041.267294444482,660
13979.0,17290.578497619037,666
18574.0,16911.45291190477,672
17521.0,17251.150567460307,675
18952.0,18718.6162373016,676
16976.0,16431.018842063477,680
17682.0,16834.926680952398,681
19439.0,18694.205113492055,685
19195.0,19030.095115873006,688
21130.0,18339.434697619035,693
17662.0,19239.55208730157,697
16436.0,16960.33223571426,700
17311.0,16523.697623809516,701
12657.0,16885.60234365078,706
19119.0,18322.234623015884,714
19088.0,18470.200446825394,717
17549.0,18073.82042380952,719
18291.0,17378.83683492062,724
18915.0,18296.41577698414,725
16544.0,17481.603959523814,726
19683.0,17834.75242460316,738
21292.0,18748.385096825386,746
17829.0,17170.104941269845,755
20960.0,18281.917970634906,760
16985.0,17889.346663492062,764
18519.0,18315.3434825397,767
17067.0,16681.299018253972,772
19081.0,18813.18612698414,774
16142.0,16454.578026984127,792
14667.0,14811.059305555555,801
15475.0,17290.940461111102,809
18597.0,16459.711455555527,810
16292.0,14993.129527777775,813
15595.0,15105.657408730163,814
17043.0,16838.601593650787,821
15858.0,15992.20342698413,836
18538.0,15680.200162698438,851
14929.0,15546.418454761919,852
14234.0,16232.61767857143,861
15928.0,17231.752800793653,865
17128.0,17394.643951587317,879
18344.0,16805.658627777782,886
13373.0,15450.420603174598,894
14626.0,14669.418951587295,897
14841.0,14486.067436507947,903
14726.0,15636.46013809524,904
15756.0,15725.817153174607,905
19811.0,17677.54879444445,907
15817.0,15968.039793650794,915
16068.0,16430.399196825372,919
16552.0,15616.100807142831,926
15574.0,16860.711258730156,937
17532.0,16194.133169841274,939
14606.0,16194.149217460306,948
16865.0,17707.90170238098,949
15203.0,15468.199501587318,953
16505.0,17753.516252380985,956
16027.0,15447.344027777783,959
15663.0,14934.26743571428,976
14850.0,14757.874429365109,977
15182.0,15543.248641269847,989
14081.0,14769.77200476189,990
16960.0,16201.30772142856,991
14703.0,15256.013363492068,992
18035.0,16660.793132539675,1003
17848.0,17679.72432619048,1011
15826.0,16596.594929365085,1014
17489.0,17862.75184126984,1019
13712.0,16594.705116666664,1021
