Actual Value,Predicted Value,Row
832670.0,962196.125,9
816622.0,945552.8125,11
1016127.0,989511.9375,21
1012037.0,1046732.75,27
949682.0,1107707.125,29
1031837.0,1064293.625,39
1169331.0,1044399.375,40
1250693.0,1251916.0,51
1175239.0,1290607.375,60
1160099.0,1191088.25,67
1435045.0,1443841.75,72
1325358.0,1417296.5,78
1105407.0,1244922.75,89
1507815.0,1277250.125,93
1474611.0,1430959.375,94
1865430.0,1664538.25,99
1243090.0,1450256.625,104
1699870.0,1451900.0,108
1311400.0,1367470.75,112
1224080.0,1312506.75,118
1630397.0,1283077.25,122
1258170.0,1254595.25,124
1285370.0,1212110.375,125
1229782.0,1288640.25,128
1014545.0,922457.6875,137
1316800.0,1278157.75,141
1317825.0,1213648.625,143
1272137.0,1066910.0,146
1645730.0,1424908.5,148
1613462.0,1376818.625,155
1423033.0,1461487.75,156
1333245.0,1214229.5,159
1218820.0,1144148.125,160
1096575.0,1066529.375,166
1572850.0,1304030.25,175
1274390.0,1335273.75,188
1353020.0,1123838.375,192
1395525.0,1095562.75,199
1243255.0,1321982.75,202
1301655.0,1285071.5,205
1376471.0,1402837.875,206
1464410.0,1402970.625,207
1642795.0,1488512.75,214
1182585.0,1260004.25,219
1383325.0,1354109.5,227
1276410.0,1382981.75,230
1146225.0,1354195.625,234
1234255.0,1640123.875,241
1198400.0,1621265.0,245
1777315.0,1565574.625,248
1354815.0,1481166.5,262
1560200.0,1471164.875,266
1493880.0,1435862.75,267
1569002.0,1554113.0,270
1483075.0,1667043.25,271
2059045.0,2107008.5,281
2136425.0,2052980.875,288
2111935.0,2112551.25,290
2003611.0,2004025.5,301
1929510.0,2200279.5,310
1855185.0,1761020.125,315
2135934.0,1911692.625,319
2204095.0,2294923.0,320
1957820.0,1705026.125,322
1780315.0,1849380.875,339
1675590.0,1943533.625,344
1855363.0,2076298.375,347
2176290.0,2279485.25,348
1970400.0,2199318.5,352
2513201.0,2088494.125,356
2347699.0,2126889.25,357
2271709.0,2271414.5,359
2575429.0,2331964.25,366
2062220.0,2327542.5,373
2620175.0,2391281.5,376
2948136.0,2564718.0,386
2654731.0,2906474.75,387
2816575.0,2744478.25,395
3018387.0,2472720.0,397
2453560.0,2718067.75,398
1339100.0,2337299.75,403
2447070.0,1906362.0,405
2319280.0,2083674.0,413
1995250.0,2319831.75,414
2462972.0,2413122.5,419
2164835.0,2301103.75,420
2072990.0,2207021.25,421
1910825.0,1949192.0,437
1980980.0,1914367.25,438
1313815.0,1675444.0,444
1984980.0,1735159.375,445
1419735.0,1494407.625,446
1318975.0,1494570.625,449
1853260.0,2297322.0,456
2141810.0,1915337.375,461
2454430.0,2389073.0,466
1876325.0,2163161.0,467
1664640.0,2137725.0,470
2939924.0,2611715.5,479
2255885.0,2189115.25,483
1944465.0,2196319.75,484
2196704.0,2586861.75,485
2001893.0,2187355.75,491
2451348.0,2279327.0,492
2252420.0,2402245.0,495
2512195.0,2293824.75,501
2057620.0,2383648.0,515
1972800.0,1884648.5,519
2160505.0,2299912.75,523
2381070.0,2362353.0,525
3008018.0,2084126.375,532
2424637.0,2334183.5,533
2128064.0,2246252.75,538
2007470.0,2114039.0,539
1723395.0,1992910.0,544
2141650.0,2452145.5,555
3663061.0,2269329.5,571
3114070.0,1803058.875,576
3292790.0,2564044.5,585
2387870.0,2447328.0,586
2168637.0,2580513.5,589
1701111.0,2537243.0,607
1748290.0,2335837.25,613
2702480.0,2563466.0,614
2408700.0,2504796.0,624
3136810.0,2923107.25,627
2172068.0,2569347.75,629
2282170.0,2270719.25,631
2289150.0,2625137.0,632
2669895.0,2506053.25,635
3307285.0,2605514.5,639
3121390.0,3125564.5,648
1926266.0,2685207.5,650
1920975.0,2664432.75,651
2339330.0,2598328.25,653
2871880.0,2761080.0,660
2071440.0,2669326.25,666
2921235.0,2788872.0,672
2646633.0,2952531.75,675
3100150.0,3156518.75,676
2545525.0,2704368.25,680
2890521.0,2780705.5,681
3097183.0,2885236.75,685
2976475.0,3165467.5,688
3570580.0,2959516.75,693
2862165.0,2911726.0,697
2842595.0,2918711.5,700
2989245.0,2904954.75,701
2156770.0,2837186.25,706
3311913.0,3101798.75,714
3329388.0,3250464.5,717
3078480.0,3058631.25,719
3412193.0,3232482.5,724
3462195.0,3197649.25,725
