total_fare_PREDICTION,date,week_no,Day Type,Holiday,Moon Calendar,School Events,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Season
195160.125,2025-03-01,8,5,0,1,2,0.0057037793125077,32.11456893093492,19.78351275164391,0
237755.203125,2025-03-02,8,6,0,2,2,0.0096024537255194,33.715428970228345,19.250104707049218,0
249224.015625,2025-03-03,9,0,0,3,0,0.0017285346416429,35.10851407510029,20.58403628642742,0
235145.296875,2025-03-04,9,1,0,4,0,0.0013053414136265,35.15790185219072,21.222012801879373,0
183104.46875,2025-03-05,9,2,0,5,0,0.0052213656545063,32.953164359110815,18.93689587367697,0
167805.515625,2025-03-06,9,3,0,6,0,0.0004351138045421,31.613142539196986,17.53332429018576,0
179414.03125,2025-03-07,9,4,0,7,0,0.0,33.0325737539676,16.88512190741085,0
195824.4375,2025-03-08,9,5,0,8,2,0.0291030350467735,34.4262828238156,16.832831413956853,0
226876.984375,2025-03-09,9,6,0,9,2,0.0108321493450274,33.85322615739523,19.128670795619257,0
235368.375,2025-03-10,10,0,0,10,0,0.0983868669744824,32.654008108505195,20.17122434033979,0
250869.15625,2025-03-11,10,1,0,11,0,0.0202963123818077,33.516406084781124,20.401838303978536,0
178535.03125,2025-03-12,10,2,0,12,0,0.0051498412787509,34.89143098897574,20.276018308208503,0
171372.734375,2025-03-13,10,3,0,13,0,0.0042676921516715,36.111429316276144,22.37083749500573,0
179629.65625,2025-03-14,10,4,3,14,2,0.015106637476947,36.14415453027323,23.17478984402237,0
181717.1875,2025-03-15,10,5,3,15,2,0.0171219901403674,36.46170788825793,23.18642647067719,0
211725.4375,2025-03-16,10,6,3,16,2,0.0188524633131237,36.729472654215215,22.39778166604765,0
253954.8125,2025-03-17,11,0,0,17,0,0.0017247496469839,35.94816395872954,21.55546885288493,0
257644.953125,2025-03-18,11,1,0,18,0,0.0232117878277387,36.07191156009805,22.24272915842465,0
203550.484375,2025-03-19,11,2,0,19,0,0.0110080228723731,35.282866202793514,21.352568208356217,0
204354.40625,2025-03-20,11,3,0,20,0,0.4688028104158837,34.03273203252087,21.23163505284839,0
194926.453125,2025-03-21,11,4,3,21,0,0.396077562101741,33.87127497260923,21.476344085843834,0
186602.53125,2025-03-22,11,5,3,22,2,18.07845794795709,33.44531721263809,22.93589828408119,0
210759.25,2025-03-23,11,6,3,23,2,16.861589541982394,32.364545023458106,22.88205351475449,0
268935.34375,2025-03-24,12,0,0,24,0,1.8994240696274407,33.084700038579456,22.868857759951084,0
253128.25,2025-03-25,12,1,0,25,0,0.0420399072656189,34.22347624803376,21.815107609209463,0
207262.1875,2025-03-26,12,2,0,26,0,0.011932848451579,34.95678714900055,22.244060012504065,1
207301.328125,2025-03-27,12,3,0,27,0,0.0065088260043921,36.59276397118765,23.071746876506893,1
198501.40625,2025-03-28,12,4,3,28,0,0.0287931273987851,36.83063412350526,24.20148375125683,1
193853.46875,2025-03-29,12,5,3,0,2,0.0141620634721562,36.78210632103719,25.01763340908218,1
200514.78125,2025-03-30,12,6,3,1,2,0.0128746031968773,37.0316692951817,24.61637265267342,1
229554.515625,2025-03-31,13,0,3,2,2,0.0128567212343,35.130326997515965,23.51116933545552,1
